
--------------- Linear optimization problem characteristics ---------------
Seed:                    94
Number of variables:     10000
Number of constraints:   2

Norm of primal sol:      2.00e+00
Norm of dual sol:        2.00e+00
Norm of dual slacks:     2.00e+00

Norm of vector b:        2.50e-02
Norm of vector c:        2.68e+00

Norm of matrix A:        1.00e+00
Condition number:        2.00e+00

----------------------- Linear optimization problem -----------------------
Coeff matrix A:          [[-0.005 -0.009 +0.008 ... -0.006 -0.006 -0.002]
                          [-0.012 -0.006 +0.010 ... -0.009 +0.009 -0.005]]

RHS vector b:            [+0.016 +0.019]
Obj vector c:            [+0.018 +0.005 -0.012 ... +0.012 -0.022 +0.009]

---------------------------- Optimal solution -----------------------------
Primal variables:         [+0.025 +0.021 +0.024 ... +0.034 +0.018 +0.006]
Dual slacks:              [+0.000 +0.000 +0.000 ... +0.000 +0.000 +0.000]
Dual variables:           [+0.775 -1.844]

Optimal objective:       -2.37529911e-02
===========================================================================

Method:                  II-QIPM
LO_Precision:            1.00e-01
Stop_Precision:          1.00e-03
LO_Verbosity:            2
Omega:                   1.00e+01

The Quantum Inexact Infeasible Interior-Point Method starts running ...


                  Objective                Residual                                Linear system           Step-length
Iter      Primal           Dual         Primal    Dual     Compl    ||Resl||  Cond-Num  ||M||   ||RHS||    a-star   a-hat      Time
   0   2.67030510e+01 -7.85695902e-01  1.42e+00 9.70e+01  1.06e+05 *1.78e-15  4.00e+00 1.00e+00 1.70e+01  9.47e-01 9.03e-01     24s
   1   3.14314649e+01 -7.85695902e-01  1.66e+01 8.85e+01  9.73e+04  2.04e+02  3.94e+00 1.23e+01 2.04e+02  4.85e-01 8.76e-02     48s
   2   3.36745593e+01 -7.85695902e-01  2.40e+01 8.58e+01  9.46e+04  2.59e+02  3.91e+00 1.41e+01 2.59e+02  4.35e-01 3.09e-02     74s
   3   3.59149164e+01 -7.85695902e-01  3.12e+01 8.34e+01  9.22e+04  2.82e+02  3.91e+00 1.49e+01 2.82e+02  4.17e-01 2.77e-02    100s
   4   3.81506418e+01 -7.85695902e-01  3.80e+01 8.13e+01  9.01e+04  3.04e+02  3.90e+00 1.56e+01 3.04e+02  4.01e-01 2.50e-02    127s
   5   4.03757401e+01 -7.85695902e-01  4.45e+01 7.95e+01  8.83e+04  3.27e+02  3.90e+00 1.63e+01 3.27e+02  3.85e-01 2.26e-02    153s
   6   4.25904502e+01 -7.85695902e-01  5.08e+01 7.78e+01  8.66e+04  3.48e+02  3.89e+00 1.70e+01 3.48e+02  3.71e-01 2.06e-02    180s
   7   4.47878271e+01 -7.85695902e-01  5.68e+01 7.64e+01  8.51e+04  3.70e+02  3.89e+00 1.77e+01 3.70e+02  3.58e-01 1.88e-02    206s
   8   4.69664105e+01 -7.85695902e-01  6.26e+01 7.50e+01  8.38e+04  3.91e+02  3.89e+00 1.84e+01 3.91e+02  3.45e-01 1.73e-02    233s
   9   4.91257799e+01 -7.85695902e-01  6.81e+01 7.39e+01  8.26e+04  4.12e+02  3.89e+00 1.91e+01 4.12e+02  3.34e-01 1.59e-02    260s
  10   5.12620955e+01 -7.85695902e-01  7.35e+01 7.28e+01  8.15e+04  4.32e+02  3.90e+00 1.97e+01 4.32e+02  3.23e-01 1.47e-02    287s
  11   5.33785632e+01 -7.85695902e-01  7.86e+01 7.18e+01  8.05e+04  4.53e+02  3.90e+00 2.04e+01 4.53e+02  3.13e-01 1.36e-02    314s
  12   5.54706170e+01 -7.85695902e-01  8.36e+01 7.09e+01  7.96e+04  4.72e+02  3.90e+00 2.10e+01 4.72e+02  3.04e-01 1.27e-02    341s
  13   5.75404108e+01 -7.85695902e-01  8.84e+01 7.00e+01  7.87e+04  4.92e+02  3.91e+00 2.16e+01 4.92e+02  2.95e-01 1.18e-02    368s
  14   5.95843786e+01 -7.85695902e-01  9.31e+01 6.93e+01  7.79e+04  5.12e+02  3.91e+00 2.22e+01 5.12e+02  2.86e-01 1.10e-02    396s
  15   6.16054161e+01 -7.85695902e-01  9.76e+01 6.85e+01  7.72e+04  5.31e+02  3.92e+00 2.28e+01 5.31e+02  2.78e-01 1.03e-02    423s
  16   6.36027130e+01 -7.85695902e-01  1.02e+02 6.79e+01  7.65e+04  5.50e+02  3.93e+00 2.35e+01 5.50e+02  2.71e-01 9.69e-03    450s
  17   6.55757380e+01 -7.85695902e-01  1.06e+02 6.73e+01  7.59e+04  5.69e+02  3.94e+00 2.41e+01 5.69e+02  2.64e-01 9.11e-03    478s
  18   6.75222561e+01 -7.85695902e-01  1.10e+02 6.67e+01  7.53e+04  5.87e+02  3.95e+00 2.46e+01 5.87e+02  2.57e-01 8.57e-03    505s
  19   6.94460532e+01 -7.85695902e-01  1.14e+02 6.61e+01  7.48e+04  6.05e+02  3.96e+00 2.52e+01 6.05e+02  2.50e-01 8.09e-03    533s
  20   7.13453341e+01 -7.85695902e-01  1.18e+02 6.56e+01  7.43e+04  6.24e+02  3.97e+00 2.58e+01 6.24e+02  2.44e-01 7.65e-03    560s
  21   7.32203734e+01 -7.85695902e-01  1.22e+02 6.52e+01  7.38e+04  6.42e+02  3.98e+00 2.64e+01 6.42e+02  2.38e-01 7.24e-03    588s
  22   7.50734383e+01 -7.85695902e-01  1.26e+02 6.47e+01  7.33e+04  6.59e+02  3.99e+00 2.69e+01 6.59e+02  2.33e-01 6.87e-03    616s
  53   4.93474633e+01  5.05040037e-02  1.99e+02 5.83e+00  7.59e+03  9.94e+02  3.11e+00 3.89e+02 9.94e+02  2.11e-01 5.54e-03   1484s
  54   4.95380386e+01  5.05040037e-02  2.03e+02 5.80e+00  7.55e+03  1.02e+03  3.11e+00 3.97e+02 1.02e+03  2.06e-01 5.29e-03   1514s
  55   4.97018232e+01  5.05040037e-02  2.08e+02 5.77e+00  7.52e+03  1.04e+03  3.10e+00 4.05e+02 1.04e+03  2.02e-01 5.04e-03   1544s
  56   4.98402408e+01  5.05040037e-02  2.12e+02 5.75e+00  7.49e+03  1.07e+03  3.10e+00 4.13e+02 1.07e+03  1.98e-01 4.82e-03   1574s
  57   4.99547163e+01  5.05040037e-02  2.16e+02 5.72e+00  7.45e+03  1.09e+03  3.09e+00 4.20e+02 1.09e+03  1.94e-01 4.62e-03   1603s
  58   5.00461120e+01  5.05040037e-02  2.20e+02 5.69e+00  7.42e+03  1.12e+03  3.09e+00 4.28e+02 1.12e+03  1.90e-01 4.42e-03   1633s
  59   5.01157276e+01  5.05040037e-02  2.24e+02 5.67e+00  7.40e+03  1.14e+03  3.08e+00 4.36e+02 1.14e+03  1.87e-01 4.24e-03   1663s
  60   5.01646271e+01  5.05040037e-02  2.27e+02 5.65e+00  7.37e+03  1.17e+03  3.08e+00 4.43e+02 1.17e+03  1.83e-01 4.07e-03   1693s
  61   5.01937496e+01  5.05040037e-02  2.31e+02 5.62e+00  7.34e+03  1.19e+03  3.08e+00 4.51e+02 1.19e+03  1.80e-01 3.91e-03   1723s
  62   5.02040193e+01  5.05040037e-02  2.35e+02 5.60e+00  7.32e+03  1.21e+03  3.07e+00 4.58e+02 1.21e+03  1.77e-01 3.75e-03   1753s
  63   5.01963435e+01  5.05040037e-02  2.38e+02 5.58e+00  7.29e+03  1.24e+03  3.07e+00 4.66e+02 1.24e+03  1.74e-01 3.61e-03   1784s
  64   5.01715614e+01  5.05040037e-02  2.42e+02 5.56e+00  7.27e+03  1.26e+03  3.07e+00 4.73e+02 1.26e+03  1.71e-01 3.47e-03   1814s
  65   5.01304433e+01  5.05040037e-02  2.45e+02 5.55e+00  7.25e+03  1.28e+03  3.07e+00 4.81e+02 1.28e+03  1.68e-01 3.35e-03   1845s
  66   5.00737454e+01  5.05040037e-02  2.49e+02 5.53e+00  7.23e+03  1.31e+03  3.07e+00 4.88e+02 1.31e+03  1.65e-01 3.23e-03   1875s
  67   5.00022093e+01  5.05040037e-02  2.52e+02 5.51e+00  7.21e+03  1.33e+03  3.07e+00 4.95e+02 1.33e+03  1.62e-01 3.11e-03   1906s
  68   4.99164751e+01  5.05040037e-02  2.55e+02 5.49e+00  7.19e+03  1.35e+03  3.07e+00 5.03e+02 1.35e+03  1.60e-01 3.00e-03   1937s
  69   4.98172100e+01  5.05040037e-02  2.59e+02 5.48e+00  7.17e+03  1.38e+03  3.07e+00 5.10e+02 1.38e+03  1.57e-01 2.90e-03   1968s
  70   4.97049549e+01  5.05040037e-02  2.62e+02 5.46e+00  7.15e+03  1.40e+03  3.07e+00 5.17e+02 1.40e+03  1.55e-01 2.80e-03   1999s
  71   4.95803089e+01  5.05040037e-02  2.65e+02 5.45e+00  7.13e+03  1.42e+03  3.07e+00 5.25e+02 1.42e+03  1.52e-01 2.71e-03   2031s
  72   4.94438592e+01  5.05040037e-02  2.68e+02 5.43e+00  7.12e+03  1.44e+03  3.07e+00 5.32e+02 1.44e+03  1.50e-01 2.62e-03   2063s
  73   4.92961796e+01  5.05040037e-02  2.71e+02 5.42e+00  7.10e+03  1.47e+03  3.07e+00 5.39e+02 1.47e+03  1.48e-01 2.54e-03   2095s
  74   4.91375138e+01  5.05040037e-02  2.74e+02 5.41e+00  7.09e+03  1.49e+03  3.07e+00 5.46e+02 1.49e+03  1.46e-01 2.46e-03   2127s
  75   4.89686797e+01  5.05040037e-02  2.77e+02 5.39e+00  7.07e+03  1.51e+03  3.07e+00 5.53e+02 1.51e+03  1.43e-01 2.38e-03   2159s
  76   4.87898553e+01  5.05040037e-02  2.80e+02 5.38e+00  7.06e+03  1.53e+03  3.08e+00 5.60e+02 1.53e+03  1.41e-01 2.31e-03   2191s
  77   4.86016883e+01  5.05040037e-02  2.83e+02 5.37e+00  7.04e+03  1.56e+03  3.08e+00 5.67e+02 1.56e+03  1.39e-01 2.24e-03   2223s
  78   4.84044610e+01  5.05040037e-02  2.86e+02 5.36e+00  7.03e+03  1.58e+03  3.08e+00 5.74e+02 1.58e+03  1.37e-01 2.17e-03   2254s
  79   4.81984061e+01  5.05040037e-02  2.88e+02 5.35e+00  7.01e+03  1.60e+03  3.08e+00 5.82e+02 1.60e+03  1.36e-01 2.11e-03   2286s
  80   4.79841386e+01  5.05040037e-02  2.91e+02 5.34e+00  7.00e+03  1.62e+03  3.08e+00 5.89e+02 1.62e+03  1.34e-01 2.05e-03   2318s
  81   4.77618555e+01  5.05040037e-02  2.94e+02 5.32e+00  6.99e+03  1.64e+03  3.09e+00 5.96e+02 1.64e+03  1.32e-01 1.99e-03   2349s
  82   4.75321694e+01  5.05040037e-02  2.96e+02 5.31e+00  6.98e+03  1.67e+03  3.09e+00 6.03e+02 1.67e+03  1.30e-01 1.94e-03   2381s
  83   4.72950056e+01  5.05040037e-02  2.99e+02 5.30e+00  6.96e+03  1.69e+03  3.09e+00 6.10e+02 1.69e+03  1.29e-01 1.88e-03   2413s
  84   4.70509486e+01  5.05040037e-02  3.02e+02 5.29e+00  6.95e+03  1.71e+03  3.10e+00 6.16e+02 1.71e+03  1.27e-01 1.83e-03   2445s
  85   4.68003554e+01  5.05040037e-02  3.04e+02 5.28e+00  6.94e+03  1.73e+03  3.10e+00 6.23e+02 1.73e+03  1.25e-01 1.78e-03   2477s
  86   4.65433168e+01  5.05040037e-02  3.07e+02 5.28e+00  6.93e+03  1.75e+03  3.10e+00 6.30e+02 1.75e+03  1.24e-01 1.74e-03   2509s
  87   4.62798870e+01  5.05040037e-02  3.09e+02 5.27e+00  6.92e+03  1.77e+03  3.11e+00 6.37e+02 1.77e+03  1.22e-01 1.69e-03   2541s
  88   4.60108935e+01  5.05040037e-02  3.11e+02 5.26e+00  6.91e+03  1.79e+03  3.11e+00 6.44e+02 1.79e+03  1.21e-01 1.65e-03   2574s
  89   4.57361105e+01  5.05040037e-02  3.14e+02 5.25e+00  6.90e+03  1.81e+03  3.12e+00 6.51e+02 1.81e+03  1.19e-01 1.61e-03   2606s
  90   4.54560941e+01  5.05040037e-02  3.16e+02 5.24e+00  6.89e+03  1.84e+03  3.12e+00 6.58e+02 1.84e+03  1.18e-01 1.56e-03   2638s
  91   4.51708479e+01  5.05040037e-02  3.19e+02 5.23e+00  6.88e+03  1.86e+03  3.13e+00 6.65e+02 1.86e+03  1.16e-01 1.53e-03   2671s
  92   4.48806352e+01  5.05040037e-02  3.21e+02 5.23e+00  6.87e+03  1.88e+03  3.13e+00 6.71e+02 1.88e+03  1.15e-01 1.49e-03   2704s
  93   4.45857130e+01  5.05040037e-02  3.23e+02 5.22e+00  6.86e+03  1.90e+03  3.13e+00 6.78e+02 1.90e+03  1.14e-01 1.45e-03   2736s
  94   4.42863326e+01  5.05040037e-02  3.25e+02 5.21e+00  6.85e+03  1.92e+03  3.14e+00 6.85e+02 1.92e+03  1.13e-01 1.42e-03   2769s
  95   4.39824353e+01  5.05040037e-02  3.28e+02 5.20e+00  6.84e+03  1.94e+03  3.14e+00 6.92e+02 1.94e+03  1.11e-01 1.39e-03   2802s
  96   4.36745523e+01  5.05040037e-02  3.30e+02 5.20e+00  6.84e+03  1.96e+03  3.15e+00 6.98e+02 1.96e+03  1.10e-01 1.35e-03   2835s
  97   4.33626054e+01  5.05040037e-02  3.32e+02 5.19e+00  6.83e+03  1.98e+03  3.15e+00 7.05e+02 1.98e+03  1.09e-01 1.32e-03   2868s
  98   4.30471233e+01  5.05040037e-02  3.34e+02 5.18e+00  6.82e+03  2.00e+03  3.16e+00 7.12e+02 2.00e+03  1.08e-01 1.29e-03   2901s
  99   4.27276897e+01  5.05040037e-02  3.36e+02 5.18e+00  6.81e+03  2.02e+03  3.16e+00 7.18e+02 2.02e+03  1.07e-01 1.26e-03   2934s
 100   4.24048163e+01  5.05040037e-02  3.38e+02 5.17e+00  6.81e+03  2.04e+03  3.17e+00 7.25e+02 2.04e+03  1.05e-01 1.23e-03   2967s
 101   4.20787014e+01  5.05040037e-02  3.40e+02 5.16e+00  6.80e+03  2.06e+03  3.18e+00 7.32e+02 2.06e+03  1.04e-01 1.21e-03   3000s
 102   4.17495388e+01  5.05040037e-02  3.42e+02 5.16e+00  6.79e+03  2.08e+03  3.18e+00 7.38e+02 2.08e+03  1.03e-01 1.18e-03   3033s
 103   4.14171849e+01  5.05040037e-02  3.44e+02 5.15e+00  6.78e+03  2.10e+03  3.19e+00 7.45e+02 2.10e+03  1.02e-01 1.15e-03   3067s
 104   4.10818116e+01  5.05040037e-02  3.46e+02 5.15e+00  6.78e+03  2.12e+03  3.19e+00 7.52e+02 2.12e+03  1.01e-01 1.13e-03   3102s
 105   4.07435870e+01  5.05040037e-02  3.48e+02 5.14e+00  6.77e+03  2.14e+03  3.20e+00 7.58e+02 2.14e+03  1.00e-01 1.11e-03   3135s
 106   4.04030164e+01  5.05040037e-02  3.50e+02 5.13e+00  6.76e+03  2.16e+03  3.20e+00 7.65e+02 2.16e+03  9.91e-02 1.08e-03   3169s
 107   4.00595847e+01  5.05040037e-02  3.52e+02 5.13e+00  6.76e+03  2.18e+03  3.21e+00 7.71e+02 2.18e+03  9.81e-02 1.06e-03   3203s
 108   3.97141292e+01  5.05040037e-02  3.54e+02 5.12e+00  6.75e+03  2.20e+03  3.22e+00 7.78e+02 2.20e+03  9.71e-02 1.04e-03   3237s
 109   3.93661175e+01  5.05040037e-02  3.56e+02 5.12e+00  6.74e+03  2.22e+03  3.22e+00 7.84e+02 2.22e+03  9.62e-02 1.02e-03   3270s
 110   3.90156882e+01  5.05040037e-02  3.58e+02 5.11e+00  6.74e+03  2.24e+03  3.23e+00 7.91e+02 2.24e+03  9.53e-02 9.99e-04   3303s

The solution quality is limited by the precision of the linear system solver.

The algorithm stopped after 111 iterations in 3303.29 seconds.

Primal variables:   [+11.860 +9.933 +29.983 ... +11.541 +11.075 +12.547]
Dual slacks:        [+0.075 +0.094 +0.013 ... +0.079 +0.082 +0.060]
Dual variables:     [+5.719 -2.003]

Primal objective:   3.90156882e+01 
Dual objective:     5.05040037e-02 

Primal residual:    3.58e+02
Dual residual:      5.11e+00
Complementraty:     6.74e+03

Number of Iter:     111
Run time:           3303.29
